"SPECIES_ID","SPECIES_NAME","ALPHA_CODE","TAXONOMIC_ORDER","SCI_NAME","RECOMENDSIZE","ALLOWABLESIZE","ENDANGERED","RAPTOR","GAMEBIRD"
"7424","Orange-billed Nightingale-Thrush","OBNT",836,"Catharus aurantiirostris","1B","1B, 1, 1A","","",""
"7430","Bushtit","BUSH",775,"Psaltriparus minimus","0A, 0","0A, 0","","",""
"7460","Verdin","VERD",774,"Auriparus flaviceps","0A, 0","0A, 0","","",""
"7461","Japanese Bush-Warbler","JABW",802,"Horornis diphone","M: 1, 1C / F: 0, 1C, 0A","M: 1, 1C, 0, 0A / F: 0, 1C, 0A","","",""
"7462","Millerbird","MILL",811,"Acrocephalus familiaris","0A","0A, 0","Y","",""
"7470","Arctic Warbler","ARWA",805,"Phylloscopus borealis","0A, 0","0A, 0","","",""
"7474","Dusky Warbler","DUWA",804,"Phylloscopus fuscatus","0A","0A","","",""
"7475","Lanceolated Warbler","LANW",817,"Locustella lanceolata","0A","0A, 0","","",""
"7480","Golden-crowned Kinglet","GCKI",800,"Regulus satrapa","0A","0A, 0","","",""
"7490","Ruby-crowned Kinglet","RCKI",801,"Regulus calendula","0A","0A, 0","","",""
"7510","Blue-gray Gnatcatcher","BGGN",792,"Polioptila caerulea","0A","0A, 0","","",""
"7520","Black-tailed Gnatcatcher","BTGN",795,"Polioptila melanura","0A","0A, 0","","",""
"7530","California Gnatcatcher","CAGN",793,"Polioptila californica","0A","0A, 0","Y","",""
"7531","Black-capped Gnatcatcher","BCGN",796,"Polioptila nigriceps","0A","0A, 0","","",""
"7540","Townsend's Solitaire","TOSO",830,"Myadestes townsendi","1B","1B, 1, 1A","","",""
"7541","Omao","OMAO",834,"Myadestes obscurus","1A, 1D","1A, 1D, 1B, 2","","",""
"7542","Puaiohi","PUAI",835,"Myadestes palmeri","1A","1A","Y","",""
"7550","Wood Thrush","WOTH",843,"Hylocichla mustelina","1A","1A, 1B, 1P","New Brunswick, Nova Scotia, Ontario, Québec","",""
"7560","Veery","VEER",837,"Catharus fuscescens","1B","1B, 1, 1A, 1P","","",""
"7570","Gray-cheeked Thrush","GCTH",838,"Catharus minimus","1B","1B, 1, 1A, 1P","","",""
"7571","Bicknell's Thrush","BITH",839,"Catharus bicknelli","1B","1B, 1P","New Brunswick, Nova Scotia, Québec","",""
"7579","Unidentified Gray-cheeked/Bicknell's Thrush","GCBT",840,"","1B","1B","","",""
"7580","Swainson's Thrush","SWTH",841,"Catharus ustulatus","1B","1B, 1, 1A, 1P","","",""
"7590","Hermit Thrush","HETH",842,"Catharus guttatus","1B, 1","1B, 1, 1A, 1P","","",""
"7610","American Robin","AMRO",851,"Turdus migratorius","2","2, 1D","","",""
"7612","Fieldfare","FIEL",846,"Turdus pilaris","2","2","","",""
"7621","Clay-colored Thrush","CCTH",848,"Turdus grayi","2","2","","",""
"7622","Rufous-backed Robin","RBRO",850,"Turdus rufopalliatus","2","2","","",""
"7623","Red-legged Thrush","RLTH",853,"Turdus plumbeus","2","2, 2A","","",""
"7630","Varied Thrush","VATH",854,"Ixoreus naevius","2","2","","",""
"7631","Aztec Thrush","AZTH",855,"Ridgwayia pinicola","2","2","","",""
"7640","Bluethroat","BLUE",822,"Cyanecula svecica","1, 1C","1, 1C","","",""
"7641","Siberian Rubythroat","SIRU",821,"Calliope calliope","1B, 1","1B, 1","","",""
"7642","Red-flanked Bluetail","RFBL",823,"Tarsiger cyanurus","0","0","","",""
"7650","Northern Wheatear","NOWH",825,"Oenanthe oenanthe","1B","1B","","",""
"7660","Eastern Bluebird","EABL",826,"Sialia sialis","1B, 1, 1A","1B, 1, 1A","","",""
"7670","Western Bluebird","WEBL",827,"Sialia mexicana","1B","1B, 1, 1A","","",""
"7676","Hybrid Western/Mountain Bluebird","HYBL",829,"","1B, 1A","1B, 1A","","",""
"7680","Mountain Bluebird","MOBL",828,"Sialia currucoides","1B, 1A","1B, 1A, 1","","",""
"7690","White-rumped Shama","WRSH",820,"Copsychus malabaricus","1B, 1A, 1D","1B, 1A, 1D","","",""
"7700","Hawaii Elepaio","HAEL",744,"Chasiempis sandwichensis","1, 0, 1C","1, 0, 1C","","",""
"7701","Oahu Elepaio","OAEL",743,"Chasiempis ibidis","1","1","Y","",""
"7702","Kauai Elepaio","KAEL",742,"Chasiempis sclateri","1, 0","1, 0, 0A","","",""
"7740","Laysan Finch","LAFI",1127,"Telespiza cantans","1A, 1B","1A, 1B","Y","",""
"7750","Nihoa Finch","NIFI",1128,"Telespiza ultima","1B, 1","1B, 1, 1A","Y","",""
"7760","Ou","OU",1129,"Psittirostra psittacea","2","2","Y","",""
"7770","Palila","PALI",1130,"Loxioides bailleui","1A, 1B","1A, 1B, 2","Y","",""
"7810","Maui Parrotbill","MAPA",1131,"Pseudonestor xanthophrys","1B, 1A","1B, 1A","Y","",""
"7820","Hawaii Amakihi","HAAM",1132,"Chlorodrepanis virens","1, 1B","1, 1B, 0, 1C","","",""
"7821","Oahu Amakihi","OAAM",1133,"Chlorodrepanis flava","1, 1C, 1B","1, 1C, 1B, 0","","",""
"7830","Kauai Amakihi","KAAM",1134,"Chlorodrepanis stejnegeri","1, 1C, 1B","1, 1C, 1B, 0","","",""
"7840","Anianiau","ANIA",1138,"Magumma parva","0, 1C, 1","0, 1C, 1, 0A","","",""
"7870","Oahu Akialoa","OAAK",1135,"Akialoa ellisiana","1, 0","1, 0, 1C","Y","",""
"7890","Akiapolaau","AKIP",1137,"Hemignathus wilsoni","1A, 1B","1A, 1B, 1D","Y","",""
"7900","Akikiki","AKIK",1139,"Oreomystis bairdi","1, 1C, 0","1, 1C, 0","Y","",""
"7910","Hawaii Creeper","HCRE",1143,"Loxops mana","1, 1C, 0","1, 1C, 0, 0A","Y","",""
"7920","Maui Alauahio","MAAL",1142,"Paroreomyza montana","1C, 1","1C, 1, 0","","",""
"7940","Oahu Alauahio","OAAL",1140,"Paroreomyza maculata","1, 1C","1, 1C","Y","",""
"7950","Akepa","AKEP",1145,"Loxops coccineus","0, 1","0, 1, 1C","Y","",""
"7960","Akekee","AKEK",1144,"Loxops caeruleirostris","1, 1C","1, 1C, 0","Y","",""
"7980","Iiwi","IIWI",1146,"Drepanis coccinea","1B","1B, 1, 1A","","",""
"8010","Akohekohe","AKOH",1147,"Palmeria dolei","1A","1A, 1B","Y","",""
"8020","Apapane","APAP",1148,"Himatione sanguinea","1, 1C, 1B","1, 1C, 1B, 1A","","",""
"8040","Poo-uli","POUL",1149,"Melamprosops phaeosoma","1B","1B","Y","",""
"8041","Northern Red Bishop","NRBI",1174,"Euplectes franciscanus","0A","0A, 0","","",""
"8042","Yellow-crowned Bishop","YCBI",1173,"Euplectes afer","0A","0A","","",""
"8060","Lavender Waxbill","LAVW",1176,"Estrilda caerulescens","0","0","","",""
"8070","Orange-cheeked Waxbill","ORAW",1177,"Estrilda melpoda","0A, 0","0A, 0","","",""
"8081","Common Waxbill","COMW",1179,"Estrilda astrild","0A, 0","0A, 0","","",""
"8090","Red Avadavat","REAV",1180,"Amandava amandava","0A, 0","0A, 0","","",""
"8100","African Silverbill","AFSI",1182,"Euodice cantans","0, 0A, 1C","0, 0A, 1C, 1","","",""
"8101","Bronze Mannikin","BRMA",1181,"Spermestes cucullata","0A","0A","","",""
"8110","Scaly-breasted Munia","SBMU",1184,"Lonchura punctulata","0, 0A","0, 0A, 1, 1C","","",""
"8120","Tricolored Munia","TRMU",1185,"Lonchura malacca","0, 1C, 1","0, 1C, 1","","",""
"8130","Java Sparrow","JAVS",1183,"Lonchura oryzivora","1B, 1A","1B, 1A","","",""
"8131","Pin-tailed Whydah","PTWH",1186,"Vidua macroura","1, 0, 1B","1, 0, 1B, 1C","","",""
"8502","Emperor Penguin","EMPE",102,"Aptenodytes forsteri","9","9","","",""
"8503","Gentoo Penguin","GEPE",103,"Pygoscelis papua","9","9","","",""
"8504","Adelie Penguin","ADPE",104,"Pygoscelis adeliae","9","9","","",""
"8505","Chinstrap Penguin","CHPE",105,"Pygoscelis antarcticus","9","9","","",""
"8508","Rockhopper Penguin","ROCP",107,"Eudyptes chrysocome","9","9","","",""
"8509","Royal Penguin","ROYP",108,"Eudyptes schlegeli","9","9","","",""
"8510","Macaroni Penguin","MACP",109,"Eudyptes chrysolophus","9","9","","",""
"8522","Gray-headed Albatross","GHAL",119,"Thalassarche chrysostoma","8","8","","",""
"8524","Light-mantled Albatross","LMSA",118,"Phoebetria palpebrata","8","8","","",""
"8525","Southern Giant Petrel","SGPE",122,"Macronectes giganteus","8, 7D","8, 7D, 7B","","",""
"8526","Southern Fulmar","SOFU",132,"Fulmarus glacialoides","5","5","","",""
"8533","White-chinned Petrel","WCPE",155,"Procellaria aequinoctialis","7A, 6, 5A, 5","7A, 6, 5A, 5","","",""
"8536","Kerguelen Petrel","KEPE",141,"Aphrodroma brevirostris","4","4","","",""
"8537","Snow Petrel","SNPE",135,"Pagodroma nivea","4","4","","",""
"8538","Gray-backed Storm-Petrel","GBSP",174,"Garrodia nereis","1B, 1A","1B, 1A","","",""
"8541","Blue-eyed Cormorant","BECO",205,"Leucocarbo atriceps","8, 7D","8, 7D, 7B","","",""
"8543","Snowy Sheathbill","SNSH",309,"Chionis albus","7A, 6","7A, 6","","",""
"8546","Southern Black-backed Gull","SBBG",423,"Larus dominicanus","7A, 7, 7B","7A, 7, 7B","","",""
"8548","Antarctic Tern","ANTE",448,"Sterna vittata","3, 3B","3, 3B","","",""
"8552","Hybrid Skua","HYSK",369,"","7B, 7A","7B, 7A","","",""
"8553","Northern Giant Petrel","NGPE",123,"Macronectes halli","8","8","","",""
"8554","Brown Skua","BRSK",368,"Stercorarius antarcticus","7B, 7A","7B, 7A","","",""
"8560","Tinian Monarch","TIMO",716,"Monarcha takatsukasae","0, 1C","0, 1C","","",""
"8570","Mariana Crow","MARC",732,"Corvus kubaryi","4, 4A","4, 4A","Y","",""
"8590","Nightingale Reed Warbler","NIRW",812,"Acrocephalus luscinius","1A, 1D","1A, 1D","Y","",""
"8600","Micronesian Megapode","MIME",86,"Megapodius laperouse","6","6","Y","",""
"8610","White-rumped Swiftlet","WRSW",535,"Aerodramus spodiopygius","0, 1, 1C","0, 1, 1C","","",""
"8620","Purple-capped Fruit Dove","PCFD",476,"Ptilinopus porphyraceus","3A, 4","3A, 4, 3B","","",""
"8630","Collared Kingfisher","COLK",574,"Todiramphus chloris","2, 3, 3B","2, 3, 3B, 3A","","",""
"8640","Samoan Starling","SAST",873,"Aplonis atrifusca","M: 3B, 3A, 4 / F: 3, 3B, 3A","M: 3B, 3A, 4, 3 / F: 3, 3B, 3A","","",""
"8650","Polynesian Starling","POST",872,"Aplonis tabuensis","M: 2, 3 / F: 1A, 1D, 2","M: 2, 3, 1D / F: 1A, 1D, 2","","",""
"8660","Cardinal Honeyeater","CAHO",687,"Myzomela cardinalis","1, 1C, 0","1, 1C, 0","","",""
"8670","Wattled Honeyeater","WAHO",688,"Foulehaio carunculatus","1A, 1D, 2","1A, 1D, 2","","",""
"8680","Micronesian Honeyeater","MIHO",689,"Myzomela rubratra","1, 1B","1, 1B","","",""
"8690","Rufous Fantail","RUFA",714,"Rhipidura rufifrons","0A, 0","0A, 0","","",""
"8691","Fiji Shrikebill","FISH",715,"Clytorhynchus vitiensis","1A, 1B","1A, 1B, 1D, 1P, 2","","",""
"8700","Bridled White-eye","BRWE",816,"Zosterops conspicillatus","0A, 0","0A, 0","Y","",""
"8710","Golden White-eye","GOWE",814,"Cleptornis marchei","1B, 1","1B, 1","","",""
"8720","Micronesian Starling","MIST",871,"Aplonis opaca","3, 2","3, 2, 3A, 3B","","",""
"8740","Black Drongo","BLDR",713,"Dicrurus macrocercus","2","2","","",""
"8750","Long-tailed Cuckoo","LTCU",492,"Eudynamys taitensis","3, 3B, 3A","3, 3B, 3A","","",""
"8760","Many-colored Fruit Dove","MCFD",475,"Ptilinopus perousii","3A, 3B","3A, 3B, 4","","",""
"8770","Pacific Pigeon","PAPI",478,"Ducula pacifica","6","6","","",""
"8780","Shy Ground Dove","SHGD",474,"Alopecoenas stairi","3A, 4","3A, 4","Y","",""
"8790","Micronesian Kingfisher","MICK",575,"Todiramphus cinnamominus","3","3","Y","",""
"8810","Rota White-eye","ROWE",815,"Zosterops rotensis","0","0","Y","",""
"9067","Antillean Mango","ANMA",541,"Anthracothorax dominicus","X","X","","",""
"9071","Streamertail","STTL",568,"Trochilus polytmus","X","X","","",""
"9081","Jamaican Tody","JATO",572,"Todus todus","0","0","","",""
"9094","Sad Flycatcher","SAFL",664,"Myiarchus barbirostris","1C, 1","1C, 1","","",""
"9099","Yellow-bellied Elaenia","YBEL",635,"Elaenia flavogaster","1, 1B","1, 1B","","",""
"9101","Greater Antillean Elaenia","GAEL",636,"Elaenia fallax","0A, 0","0A, 0","","",""
"9102","Jamaican Elaenia","JAEL",632,"Myiopagis cotta","0A, 0","0A, 0","","",""
"9107","Jamaican Crow","JACR",736,"Corvus jamaicensis","6","6","","",""
"9109","Southern House Wren","SHWR",784,"Troglodytes aedon musculus","0","0","","",""
"9116","Brown Trembler","BRTR",858,"Cinclocerthia ruficauda","2, 1D","2, 1D","","",""
"9120","White-eyed Thrush","WETH",849,"Turdus jamaicensis","2","2","","",""
"9122","White-chinned Thrush","WCTH",852,"Turdus aurantius","2","2","","",""
"9127","Rufous-throated Solitaire","RTSO",831,"Myadestes genibarbis","1, 1B, 1C","1, 1B, 1C","","",""
