"SPECIES_ID","SPECIES_NAME","ALPHA_CODE","TAXONOMIC_ORDER","SCI_NAME","RECOMENDSIZE","ALLOWABLESIZE","ENDANGERED","RAPTOR","GAMEBIRD"
"0431","Thayer's Gull","THGU",416,"Larus glaucoides thayeri","6","6","","",""
"0440","Glaucous-winged Gull","GWGU",420,"Larus glaucescens","7A, 7, 7B","7A, 7, 7B, 6","","",""
"0446","Hybrid Gull","HYGU",424,"","6, 7A, 7","6, 7A, 7, 7B","","",""
"0470","Great Black-backed Gull","GBBG",422,"Larus marinus","7B, 7, 7A","7B, 7, 7A","","",""
"0490","Western Gull","WEGU",412,"Larus occidentalis","6, 7A","6, 7A","","",""
"0500","Lesser Black-backed Gull","LBBG",418,"Larus fuscus","6","6","","",""
"0510","Herring Gull","HERG",415,"Larus argentatus","6, 7A","6, 7A","","",""
"0530","California Gull","CAGU",414,"Larus californicus","5, 5A","5, 5A, 6","","",""
"0534","Unidentified Gull","UNGU",425,"","5, 5A","5, 5A, 6, 7A","","",""
"0540","Ring-billed Gull","RBGU",411,"Larus delawarensis","5, 4A, 5A","5, 4A, 5A, 4","","",""
"0550","Mew Gull","MEGU",410,"Larus canus","4A, 4, 5","4A, 4, 5, 5A","","",""
"0551","Black-headed Gull","BHGU",402,"Chroicocephalus ridibundus","5","5","","",""
"0570","Heermann's Gull","HEEG",409,"Larus heermanni","4A","4A, 4","","",""
"0580","Laughing Gull","LAGU",406,"Leucophaeus atricilla","5, 4A, 4","5, 4A, 4","","",""
"0590","Franklin's Gull","FRGU",407,"Leucophaeus pipixcan","4","4, 4A","","",""
"0600","Bonaparte's Gull","BOGU",401,"Chroicocephalus philadelphia","3, 3B","3, 3B, 3A","","",""
"0601","Little Gull","LIGU",403,"Hydrocoloeus minutus","3","3","","",""
"0610","Ross's Gull","ROGU",404,"Rhodostethia rosea","3","3","Manitoba, Nunavut","",""
"0620","Sabine's Gull","SAGU",400,"Xema sabini","3, 3B","3, 3B","","",""
"0630","Gull-billed Tern","GBTE",438,"Gelochelidon nilotica","3B, 3A","3B, 3A, 3","","",""
"0640","Caspian Tern","CATE",439,"Hydroprogne caspia","5, 4A","5, 4A, 5A","","",""
"0650","Royal Tern","ROYT",451,"Thalasseus maximus","4, 4A","4, 4A, 5","","",""
"0652","Crested Tern","CRTE",452,"Thalasseus bergii","3, 3B","3, 3B","","",""
"0660","Elegant Tern","ELTE",455,"Thalasseus elegans","3","3, 3B","","",""
"0670","Sandwich Tern","SATE",453,"Thalasseus sandvicensis","3B","3B, 3, 3A","","",""
"0671","Cayenne Tern","CAYT",454,"Thalasseus acuflavidus eurygnathus","3B","3B","","",""
"0690","Forster's Tern","FOTE",450,"Sterna forsteri","3","3, 2A","","",""
"0700","Common Tern","COTE",446,"Sterna hirundo","2A, 2","2A, 2, 3","","",""
"0706","Hybrid Tern","HYTE",456,"","2, 2A","2, 2A","","",""
"0710","Arctic Tern","ARTE",447,"Sterna paradisaea","2, 2A","2, 2A, 3","","",""
"0720","Roseate Tern","ROST",443,"Sterna dougallii","2, 2A","2, 2A, 3","Y","",""
"0725","Common Tern X Roseate Tern Hybrid","HCRT",445,"","2","2","","",""
"0730","Aleutian Tern","ALTE",433,"Onychoprion aleuticus","2, 2A, 1D","2, 2A, 1D","","",""
"0731","Black-naped Tern","BNTE",444,"Sterna sumatrana","2","2","","",""
"0740","Least Tern","LETE",435,"Sternula antillarum","1A, 1B","1A, 1B","","",""
"0742","Interior Least Tern","ILTE",436,"Sternula antillarum athalassos","1A, 1B","1A, 1B, 1P","Y","",""
"0743","California Least Tern","CLTE",437,"Sternula antillarum browni","1A, 1B","1A, 1B, 1P","Y","",""
"0750","Sooty Tern","SOTE",430,"Onychoprion fuscatus","3","3, 2, 2A, 3B","","",""
"0760","Bridled Tern","BRTE",432,"Onychoprion anaethetus","2A, 3, 2","2A, 3, 2","","",""
"0761","Gray-backed Tern","GRAT",431,"Onychoprion lunatus","2, 2A","2, 2A, 3","","",""
"0770","Black Tern","BLTE",440,"Chlidonias niger","1D, 1A, 2","1D, 1A, 2","","",""
"0780","White-winged Tern","WWTE",441,"Chlidonias leucopterus","2","2","","",""
"0790","Brown Noddy","BRNO",426,"Anous stolidus","3","3, 3B","","",""
"0791","Black Noddy","BLNO",427,"Anous minutus","2, 3, 2A","2, 3, 2A, 3B","","",""
"0792","Blue-gray Noddy","BGNO",428,"Anous ceruleus","2, 1D, 2A","2, 1D, 2A","","",""
"0793","White Tern","WHTE",429,"Gygis alba","2, 2A","2, 2A","","",""
"0800","Black Skimmer","BLSK",457,"Rynchops niger","4, 4A, 3A, 4V","4, 4A, 3A, 4V, 3B","","",""
"0810","Black-footed Albatross","BFAL",126,"Phoebastria nigripes","7B","7B, 7, 7V","","",""
"0811","Wandering Albatross","WAAL",124,"Diomedea exulans","8","8","","",""
"0816","Hybrid Albatross","HYAL",121,"","7B, 8, 7D","7B, 8, 7D","","",""
"0820","Short-tailed Albatross","STAL",128,"Phoebastria albatrus","8","8","Y","",""
"0821","Laysan Albatross","LAAL",125,"Phoebastria immutabilis","7B","7B, 7, 7V","","",""
"0822","Black-browed Albatross","BBAL",117,"Thalassarche melanophris","8","8","","",""
"0824","Waved Albatross","WAVA",127,"Phoebastria irrorata","8","8","","",""
"0830","Yellow-nosed Albatross","YNAL",115,"Thalassarche chlororhynchos","8","8","","",""
"0860","Northern Fulmar","NOFU",131,"Fulmarus glacialis","6, 5A","6, 5A, 5","","",""
"0880","Cory's Shearwater","COSH",157,"Calonectris diomedea","4","4","","",""
"0881","Streaked Shearwater","STRS",156,"Calonectris leucomelas","3B","3B","","",""
"0890","Great Shearwater","GRSH",160,"Ardenna gravis","6, 5, 5R","6, 5, 5R","","",""
"0900","Manx Shearwater","MASH",166,"Puffinus puffinus","4A, 4","4A, 4","","",""
"0910","Pink-footed Shearwater","PFSH",158,"Puffinus creatopus","5, 4A","5, 4A","British Columbia","",""
"0920","Audubon's Shearwater","AUSH",170,"Puffinus lherminieri","3B, 3A","3B, 3A","","",""
"0922","Tropical Shearwater","TRSH",171,"Puffinus bailloni","3, 3B, 3A","3, 3B, 3A, 4","","",""
"0930","Black-vented Shearwater","BVSH",169,"Puffinus opisthomelas","4","4","","",""
"0932","Newell's Shearwater","NESH",167,"Puffinus newelli","4, 4A","4, 4A","Y","",""
"0950","Sooty Shearwater","SOSH",163,"Ardenna grisea","5, 5A, 4A","5, 5A, 4A, 6","","",""
"0960","Short-tailed Shearwater","SHOS",164,"Ardenna tenuirostris","5, 4A","5, 4A","","",""
"0961","Wedge-tailed Shearwater","WTSH",161,"Ardenna pacifica","5, 4A, 4","5, 4A, 4","","",""
"0962","Buller's Shearwater","BULS",162,"Ardenna bulleri","4","4","","",""
"0963","Christmas Shearwater","CHSH",165,"Puffinus nativitatis","4, 4A","4, 4A","","",""
"0980","Black-capped Petrel","BCPE",144,"Pterodroma hasitata","3A","3A, 3B","","",""
"0983","Cook's Petrel","COPE",151,"Pterodroma cookii","3","3","","",""
"0985","Hawaiian Petrel","HAPE",148,"Pterodroma sandwichensis","4, 3A","4, 3A, 3B, 4A","Y","",""
"0986","Trindade Petrel","TRPE",146,"Pterodroma arminjoniana","4","4, 3A","","",""
"0987","Juan Fernandez Petrel","JFPE",145,"Pterodroma externa","3","3","","",""
"0988","Phoenix Petrel","PHPE",147,"Pterodroma alba","4, 3A, 3B","4, 3A, 3B, 3, 4A","","",""
"0991","Bonin Petrel","BOPE",149,"Pterodroma hypoleuca","3, 3B, 2A","3, 3B, 2A, 3A","","",""
"0992","Black-winged Petrel","BWPE",150,"Pterodroma nigripennis","2","2","","",""
"1001","Murphy's Petrel","MUPE",142,"Pterodroma ultima","3, 3B, 3A","3, 3B, 3A","","",""
"1004","Tahiti Petrel","TAPE",153,"Pseudobulweria rostrata","4","4, 4A","","",""
"1010","Bulwer's Petrel","BUPE",154,"Bulweria bulwerii","2, 2A, 3","2, 2A, 3","","",""
"1020","Cape Petrel","CAPE",134,"Daption capense","4, 4A","4, 4A","","",""
"1030","Least Storm-Petrel","LTSP",184,"Hydrobates microsoma","1B","1B","","",""
"1050","Fork-tailed Storm-Petrel","FTSP",177,"Hydrobates furcatus","1B, 1A","1B, 1A","","",""
"1060","Leach's Storm-Petrel","LHSP",178,"Hydrobates leucorhous","1B, 1A","1B, 1A, 1","","",""
"1062","Band-rumped Storm-Petrel","BANP",180,"Hydrobates castro","1B, 1A, 1","1B, 1A, 1","Y","",""
"1063","Wedge-rumped Storm-Petrel","WRSP",181,"Hydrobates tethys","1B","1B","","",""
"1070","Black Storm-Petrel","BLSP",182,"Hydrobates melania","1A, 1B","1A, 1B","","",""
"1071","Tristram's Storm-Petrel","TRSP",183,"Hydrobates tristrami","2, 2A","2, 2A","","",""
"1080","Ashy Storm-Petrel","ASSP",179,"Hydrobates homochroa","1B","1B, 1A","","",""
"1090","Wilson's Storm-Petrel","WISP",173,"Oceanites oceanicus","1B, 1A","1B, 1A","","",""
"1101","White-throated Storm-Petrel","WHSP",176,"Nesofregetta fuliginosa","3, 2A, 2","3, 2A, 2","","",""
"1120","White-tailed Tropicbird","WTTR",185,"Phaethon lepturus","4, 4A, 3A","4, 4A, 3A, 3B","","",""
"1130","Red-billed Tropicbird","RBTR",186,"Phaethon aethereus","4A","4A, 5","","",""
"1131","Red-tailed Tropicbird","RTTR",187,"Phaethon rubricauda","5, 4A, 5A","5, 4A, 5A, 6","","",""
"1140","Masked Booby","MABO",192,"Sula dactylatra","7B, 8","7B, 8, 7","","",""
"1141","Blue-footed Booby","BFBO",194,"Sula nebouxii","7B, 7, 7A","7B, 7, 7A","","",""
"1150","Brown Booby","BRBO",195,"Sula leucogaster","7B, 7","7B, 7","","",""
"1160","Red-footed Booby","RFBO",196,"Sula sula","7A, 7, 7B","7A, 7, 7B","","",""
"1170","Northern Gannet","NOGA",197,"Morus bassanus","8","8, 8A","","",""
"1180","Anhinga","ANHI",206,"Anhinga anhinga","7B, 8","7B, 8, 7","","",""
"1190","Great Cormorant","GRCO",201,"Phalacrocorax carbo","8","8, 7D","","",""
"1200","Double-crested Cormorant","DCCO",200,"Phalacrocorax auritus","8, 7B, 7D","8, 7B, 7D","","",""
"1201","Guanay Cormorant","GUCO",204,"Leucocarbo bougainvillii","8","8, 8A","","",""
"1210","Neotropic Cormorant","NECO",199,"Phalacrocorax brasilianus","7B, 7, 7A","7B, 7, 7A, 7D","","",""
"1220","Brandt's Cormorant","BRAC",198,"Phalacrocorax penicillatus","8","8, 7D, 8A","","",""
"1230","Pelagic Cormorant","PECO",203,"Phalacrocorax pelagicus","7B, 7, 7D","7B, 7, 7D, 7A, 8","","",""
"1240","Red-faced Cormorant","RFCO",202,"Phalacrocorax urile","8, 7B, 7D","8, 7B, 7D","","",""
"1250","American White Pelican","AWPE",207,"Pelecanus erythrorhynchos","9, 9C, 8A","9, 9C, 8A, 9A","","",""
"1260","Brown Pelican","BRPE",208,"Pelecanus occidentalis","8A, 9, 8","8A, 9, 8","","",""
"1280","Magnificent Frigatebird","MAFR",189,"Fregata magnificens","7B, 7, 7A","7B, 7, 7A","","",""
"1281","Great Frigatebird","GRFR",190,"Fregata minor","7B, 7, 7A","7B, 7, 7A, 7D","","",""
"1282","Lesser Frigatebird","LEFR",191,"Fregata ariel","7A, 7","7A, 7, 7B","","",""
"1290","Common Merganser","COME",81,"Mergus merganser","7A, 7","7A, 7, 7V","","","Y"
"1300","Red-breasted Merganser","RBME",82,"Mergus serrator","6, 7A","6, 7A","","","Y"
"1310","Hooded Merganser","HOME",80,"Lophodytes cucullatus","5, 5A, 6","5, 5A, 6","","","Y"
"1320","Mallard","MALL",45,"Anas platyrhynchos","7A, 7","7A, 7, 6, 7B","","","Y"
"1321","Hawaiian Duck","HAWD",48,"Anas wyvilliana","6, 7A","6, 7A, 5","Y","",""
"1322","Laysan Duck","LADU",49,"Anas laysanensis","5, 5A, 6","5, 5A, 6","Y","",""
"1323","Mallard X Hawaiian Duck Hybrid","MHDH",50,"","7A, 6","7A, 6","","","Y"
"1325","Mallard X American Black Duck Intermediate","MBDX",42,"","7A","7A, 7","","","Y"
"1326","Mallard X American Black Duck Hybrid","MBDH",43,"","7A","7A, 7","","","Y"
"1327","Mallard Dominant X American Black Duck Hybrid","MALX",44,"","7A","7A, 7","","","Y"
"1330","American Black Duck","ABDU",40,"Anas rubripes","7A","7A, 7","","","Y"
"1331","Mexican Duck","MEDU",47,"Anas diazi","7A","7A","","",""
"1337","American Black Duck Dominant X Mallard Hybrid","ABDX",41,"","7A","7A, 7","","","Y"
"1340","Mottled Duck","MODU",46,"Anas fulvigula","7A","7A, 7","","","Y"
"1350","Gadwall","GADW",35,"Mareca strepera","6","6, 5A, 7A","","","Y"
"1360","Eurasian Wigeon","EUWI",37,"Mareca penelope","6","6","","","Y"
"1370","American Wigeon","AMWI",38,"Mareca americana","6","6, 5A, 7A","","","Y"
"1380","European Green-winged Teal","EGWT",58,"Anas crecca crecca","4, 4A","4, 4A, 5","","","Y"
"1390","Green-winged Teal","AGWT",59,"Anas crecca","4, 4A","4, 4A, 5","","","Y"
"1392","Garganey","GARG",56,"Spatula querquedula","4A, 4","4A, 4","","","Y"
"1400","Blue-winged Teal","BWTE",51,"Spatula discors","5, 4A","5, 4A, 4, 5A","","","Y"
"1401","Unidentified Teal","UNTE",60,"","5, 4A","5, 4A, 4","","","Y"
"1410","Cinnamon Teal","CITE",52,"Spatula cyanoptera","5, 4A","5, 4A, 4, 5A","","","Y"
"1420","Northern Shoveler","NSHO",53,"Spatula clypeata","5, 6, 5A","5, 6, 5A","","","Y"
"1430","Northern Pintail","NOPI",55,"Anas acuta","6","6, 5A, 7A","","","Y"
"1431","White-cheeked Pintail","WHIP",54,"Anas bahamensis","5, 5A","5, 5A, 6","","","Y"
"1436","Other Hybrid Duck","OHDU",85,"","7A, 6, 5A, 5","7A, 6, 5A, 5","","","Y"
"1440","Wood Duck","WODU",34,"Aix sponsa","M: 5A, 6, 5 / F: 5A, 5, 6","M: 5A, 6, 5 / F: 5A, 5, 6","","","Y"
"1460","Redhead","REDH",62,"Aythya americana","6, 7A","6, 7A","","","Y"
"1470","Canvasback","CANV",61,"Aythya valisineria","7A","7A, 6, 7","","","Y"
"1480","Greater Scaup","GRSC",66,"Aythya marila","6, 5A, 5","6, 5A, 5","","","Y"
"1490","Lesser Scaup","LESC",67,"Aythya affinis","6, 5A, 5","6, 5A, 5","","","Y"
"1491","Tufted Duck","TUDU",65,"Aythya fuligula","5","5","","","Y"
"1500","Ring-necked Duck","RNDU",64,"Aythya collaris","6, 5A","6, 5A, 5","","","Y"
"1510","Common Goldeneye","COGO",78,"Bucephala clangula","6, 7A","6, 7A","","","Y"
"1520","Barrow's Goldeneye","BAGO",79,"Bucephala islandica","7A, 6","7A, 6","","","Y"
"1530","Bufflehead","BUFF",77,"Bucephala albeola","5, 5A","5, 5A, 6","","","Y"
"1540","Long-tailed Duck","LTDU",76,"Clangula hyemalis","6, 5A, 5","6, 5A, 5","","","Y"
"1550","Harlequin Duck","HARD",72,"Histrionicus histrionicus","5, 5A","5, 5A, 6","","","Y"
"1570","Steller's Eider","STEI",68,"Polysticta stelleri","7A, 6","7A, 6","Y","",""
"1580","Spectacled Eider","SPEI",69,"Somateria fischeri","7A, 6","7A, 6","Y","",""
"1590","Common Eider","COEI",71,"Somateria mollissima","M: 7B, 7, 7A / F: 7A, 7, 7B","M: 7B, 7, 7A / F: 7A, 7, 7B","","","Y"
"1620","King Eider","KIEI",70,"Somateria spectabilis","7A, 6, 7, 7B","7A, 6, 7, 7B","","","Y"
"1630","Black Scoter","BLSC",75,"Melanitta americana","7A","7A","","","Y"
"1650","White-winged Scoter","WWSC",74,"Melanitta deglandi","7A, 7","7A, 7, 7B","","","Y"
"1660","Surf Scoter","SUSC",73,"Melanitta perspicillata","7A","7A","","","Y"
"1670","Ruddy Duck","RUDU",84,"Oxyura jamaicensis","M: 7A, 6 / F: 6, 7A","M: 7A, 6, 5A / F: 6, 7A, 5A","","","Y"
"1680","Masked Duck","MADU",83,"Nomonyx dominicus","5","5","","","Y"
"1690","Lesser Snow Goose","LSGO",10,"Anser caerulescens caerulescens","7B","7B, 7","","","Y"
"1691","Blue Goose","BLGO",11,"Anser caerulescens","7B","7B, 7","","","Y"
"1695","Snow X Blue Goose Intergrade","SBGI",12,"","7B","7B","","","Y"
"1698","Blue Greater Snow Goose","BGSG",13,"","7B","7B","","","Y"
"1699","Greater Snow Goose","GSGO",14,"Anser caerulescens atlantica","7B","7B","","","Y"
"1700","Ross's Goose","ROGO",16,"Anser rossii","7B","7B","","","Y"
"1703","Snow X Ross's Goose Hybrid","SRGH",15,"","7B","7B","","","Y"
"1710","Greater White-fronted Goose","GWFG",6,"Anser albifrons","7B, 8","7B, 8","","","Y"
"1716","Other Hybrid Goose","OHGO",27,"","8, 7B","8, 7B","","",""
"1719","Tule White-fronted Goose","TWFG",8,"Anser albifrons elgasi","8","8","","","Y"
"1720","Canada Goose","CAGO",25,"Branta canadensis","8","8, 8A","","","Y"
"1721","Aleutian Canada Goose","ACGO",21,"Branta hutchinsii leucopareia","7B, 7","7B, 7, 7A","","","Y"
"1722","Cackling Goose","CACG",22,"Branta hutchinsii","7A, 7, 7B","7A, 7, 7B","","","Y"
"1723","Large Canada Goose","LCGO",23,"Branta canadensis maxima","8","8, 8A","","","Y"
"1729","Small Canada Goose","SCGO",24,"Branta canadensis parvipes","7B, 7","7B, 7, 7D","","","Y"
"1730","Atlantic Brant","ATBR",17,"Branta bernicla hrota","7B, 7","7B, 7, 7A","","","Y"
"1731","Black X Atlantic Brant Intergrade","BABI",18,"","7A, 7, 7B","7A, 7, 7B","","","Y"
"1740","Black Brant","BLBR",19,"Branta bernicla nigricans","7A, 7, 7B","7A, 7, 7B","","","Y"
"1750","Barnacle Goose","BRNG",20,"Branta leucopsis","7B","7B","","",""
"1751","Hawaiian Goose","HAGO",26,"Branta sandvicensis","8, 7B","8, 7B, 8A","Y","",""
"1760","Emperor Goose","EMGO",9,"Anser canagicus","7B","7B, 7","","","Y"
"1770","Black-bellied Whistling-Duck","BBWD",1,"Dendrocygna autumnalis","7A, 7","7A, 7, 7B","","","Y"
"1771","West Indian Whistling-Duck","WIWD",2,"Dendrocygna arborea","7B","7B","","","Y"
"1780","Fulvous Whistling-Duck","FUWD",3,"Dendrocygna bicolor","7A, 7","7A, 7, 6","","","Y"
"1782","Mute Swan","MUSW",28,"Cygnus olor","9C","9C, 9, 9A","","",""
"1790","Whooper Swan","WHOS",32,"Cygnus cygnus","9","9","","",""
"1800","Whistling Swan","WHSW",30,"Cygnus columbianus columbianus","9","9, 9C","","","Y"
"1801","Bewick's Swan","BESW",31,"Cygnus columbianus bewickii","9","9","","",""
"1810","Trumpeter Swan","TRUS",29,"Cygnus buccinator","9C, 9","9C, 9","","","Y"
"1820","American Flamingo","AMFL",100,"Phoenicopterus ruber","8, 8A","8, 8A, 9","","",""
"1830","Roseate Spoonbill","ROSP",228,"Platalea ajaja","7B","7B","","",""
"1840","White Ibis","WHIB",224,"Eudocimus albus","6, 7A","6, 7A","","",""
"1850","Scarlet Ibis","SCIB",225,"Eudocimus ruber","6","6","","",""
"1860","Glossy Ibis","GLIB",226,"Plegadis falcinellus","6","6","","",""
"1870","White-faced Ibis","WFIB",227,"Plegadis chihi","6","6","","",""
"1880","Wood Stork","WOST",188,"Mycteria americana","8","8","Y","",""
"1900","American Bittern","AMBI",209,"Botaurus lentiginosus","M: 7A / F: 6","M: 7A, 6 / F: 6, 7A","","",""
"1910","Least Bittern","LEBI",211,"Ixobrychus exilis","4","4, 3A, 4A","Manitoba, New Brunswick, Nova Scotia, Ontario, Québec","",""
"1911","Yellow Bittern","YEBI",210,"Ixobrychus sinensis","4","4, 3A, 4A","","",""
"1920","Great White Heron","GWHE",212,"Ardea herodias occidentalis","8","8","","",""
"1940","Great Blue Heron","GBHE",213,"Ardea herodias","7B, 8","7B, 8, 7","","",""
"1960","Great Egret","GREG",214,"Ardea alba","7B, 7A, 7","7B, 7A, 7","","",""
"1969","Pacific Reef Heron","PRHE",215,"Egretta sacra","7A","7A, 6","","",""
"1970","Snowy Egret","SNEG",216,"Egretta thula","6","6, 5A","","",""
"1980","Reddish Egret","REEG",219,"Egretta rufescens","7A","7A, 6","","",""
"1990","Tricolored Heron","TRHE",218,"Egretta tricolor","6","6, 5A","","",""
"2000","Little Blue Heron","LBHE",217,"Egretta caerulea","6","6, 5A, 7A","","",""
"2001","Cattle Egret","CAEG",220,"Bubulcus ibis","6","6, 5A, 7A","","",""
"2010","Green Heron","GRHE",221,"Butorides virescens","5, 5A, 6","5, 5A, 6, 4, 4A","","",""
"2020","Black-crowned Night-Heron","BCNH",222,"Nycticorax nycticorax","7A, 7","7A, 7, 6, 7B","","",""
"2030","Yellow-crowned Night-Heron","YCNH",223,"Nyctanassa violacea","7A, 7","7A, 7, 6, 7B","","",""
"2040","Whooping Crane","WHCR",287,"Grus americana","9, 9V","9, 9V","Y","",""
"2060","Sandhill Crane","SACR",284,"Antigone canadensis","8, 8A, 9","8, 8A, 9","","","Y"
"2061","Mississippi Sandhill Crane","MSCR",285,"Antigone canadensis pulla","8, 8A","8, 8A","Y","",""
"2070","Limpkin","LIMP",283,"Aramus guarauna","7A, 6","7A, 6","","",""
"2080","King Rail","KIRA",271,"Rallus elegans","5","5, 4A, 5A","Ontario","","Y"
"2110","Clapper Rail","CLRA",270,"Rallus longirostris","5, 4A","5, 4A, 5A","","","Y"
"2111","California Ridgway's Rail","CRRA",267,"Rallus obsoletus obsoletus","5","5, 4A, 5A","Y","",""
"2112","Light-footed Ridgway's Rail","LFRR",268,"Rallus obsoletus levipes","5","5, 4A, 5A","Y","",""
"2113","Yuma Ridgway's Rail","YRRA",269,"Rallus obsoletus yumanensis","5","5, 4A, 5A","Y","",""
"2120","Virginia Rail","VIRA",272,"Rallus limicola","2, 3, 2A","2, 3, 2A, 3B","","","Y"
"2140","Sora","SORA",273,"Porzana carolina","2, 2A, 3","2, 2A, 3","","","Y"
"2150","Yellow Rail","YERA",261,"Coturnicops noveboracensis","2, 1D","2, 1D, 1A","","",""
"2160","Black Rail","BLRA",262,"Laterallus jamaicensis","1D, 1A, 2","1D, 1A, 2","","",""
"2161","Buff-banded Rail","BBRA",265,"Gallirallus philippensis","4","4","","","Y"
"2163","Eastern Black Rail","EBRA",263,"Laterallus jamaicensis jamaicensis","1D, 1A, 2","1D, 1A, 2","Y","",""
"2180","Purple Gallinule","PUGA",276,"Porphyrio martinicus","4, 4A, 5","4, 4A, 5","","","Y"
"2190","Common Gallinule","COGA",277,"Gallinula galeata","5A, 6, 5","5A, 6, 5","","","Y"
"2191","Hawaiian Gallinule","HAGA",278,"Gallinula galeata sandvicensis","5, 6","5, 6","Y","",""
"2201","Hawaiian Coot","HACO",280,"Fulica alai","6, 5A, 5","6, 5A, 5","Y","",""
"2210","American Coot","AMCO",281,"Fulica americana","6, 5A, 5","6, 5A, 5","","","Y"
"2220","Red Phalarope","REPH",365,"Phalaropus fulicarius","1A","1A, 1B","","",""
"2230","Red-necked Phalarope","RNPH",364,"Phalaropus lobatus","1B","1B, 1, 1A","","",""
"2240","Wilson's Phalarope","WIPH",363,"Phalaropus tricolor","1D, 1A, 2","1D, 1A, 2, 1B","","",""
"2250","American Avocet","AMAV",290,"Recurvirostra americana","4, 4A","4, 4A, 5","","",""
"2260","Black-necked Stilt","BNST",288,"Himantopus mexicanus","3A, 4, 4A","3A, 4, 4A, 3B","","",""
"2261","Hawaiian Stilt","HAST",289,"Himantopus mexicanus knudseni","4, 3A, 4A","4, 3A, 4A","Y","",""
"2262","Black-winged Stilt","BWST",286,"Himantopus himantopus","4","4, 3A, 4A","","",""
"2280","American Woodcock","AMWO",362,"Scolopax minor","3","3, 3A, 3B","","","Y"
"2290","Common Snipe","COSN",357,"Gallinago gallinago","3, 3B","3, 3B","","",""
"2300","Wilson's Snipe","WISN",358,"Gallinago delicata","3, 3B, 3A, 2","3, 3B, 3A, 2","","","Y"
"2301","Pin-tailed Snipe","PTSN",359,"Gallinago stenura","3","3","","","Y"
"2302","Swinhoe's Snipe","SWSN",360,"Gallinago megala","3","3","","","Y"
"2310","Short-billed Dowitcher","SBDO",355,"Limnodromus griseus","2, 2A","2, 2A, 3","","",""
"2320","Long-billed Dowitcher","LBDO",356,"Limnodromus scolopaceus","2, 2A","2, 2A, 3","","",""
"2330","Stilt Sandpiper","STSA",338,"Calidris himantopus","1A, 1D","1A, 1D, 1B, 2","","",""
"2340","Red Knot","REKN",333,"Calidris canutus","2, 2A","2, 2A, 3, 3A, 3B","British Columbia, Yukon Territory, Northwest Territories","",""
"2341","Rufa Red Knot","RRKN",334,"Calidris canutus rufa","2, 2A","2, 2A, 3","Y","",""
"2350","Purple Sandpiper","PUSA",346,"Calidris maritima","1A, 1D, 2","1A, 1D, 2","","",""
"2360","Rock Sandpiper","ROSA",345,"Calidris ptilocnemis","2, 1D","2, 1D, 1A","","",""
"2380","Sharp-tailed Sandpiper","SHAS",337,"Calidris acuminata","1A, 1D","1A, 1D, 2","","",""
"2390","Pectoral Sandpiper","PESA",352,"Calidris melanotos","1A, 1D, 2","1A, 1D, 2, 1B, 2A","","",""
"2400","White-rumped Sandpiper","WRSA",350,"Calidris fuscicollis","1A, 1B","1A, 1B, 1","","",""
"2410","Baird's Sandpiper","BASA",347,"Calidris bairdii","1B, 1A","1B, 1A","","",""
"2420","Least Sandpiper","LESA",349,"Calidris minutilla","1, 1B, 1C","1, 1B, 1C, 0","","",""
"2422","Red-necked Stint","RNST",342,"Calidris ruficollis","1, 1B, 1C","1, 1B, 1C","","",""
"2423","Long-toed Stint","LTST",340,"Calidris subminuta","1, 1B","1, 1B","","",""
"2430","Dunlin","DUNL",344,"Calidris alpina","1A, 1B, 1D","1A, 1B, 1D, 2","","",""
"2440","Curlew Sandpiper","CUSA",339,"Calidris ferruginea","1A","1A","","",""
"2460","Semipalmated Sandpiper","SESA",353,"Calidris pusilla","1B, 1","1B, 1, 0, 1A, 1C","","",""
"2470","Western Sandpiper","WESA",354,"Calidris mauri","1B, 1","1B, 1, 0, 1A, 1C","","",""
"2480","Sanderling","SAND",343,"Calidris alba","1A, 1D","1A, 1D, 1B, 2","","",""
"2490","Marbled Godwit","MAGO",330,"Limosa fedoa","4","4, 4A","","",""
"2500","Bar-tailed Godwit","BARG",329,"Limosa lapponica","M: 4 / F: 4A","M: 4 / F: 4A","","",""
"2510","Hudsonian Godwit","HUGO",328,"Limosa haemastica","3A","3A, 3B, 4","","",""
"2532","Common Greenshank","CGRE",317,"Tringa nebularia","3, 3B, 3A","3, 3B, 3A","","",""
"2540","Greater Yellowlegs","GRYE",318,"Tringa melanoleuca","3, 3B","3, 3B, 2A, 3A","","",""
"2550","Lesser Yellowlegs","LEYE",320,"Tringa flavipes","2, 2A","2, 2A, 1D, 3","","",""
"2560","Solitary Sandpiper","SOSA",314,"Tringa solitaria","1A, 1D, 2","1A, 1D, 2, 1B","","",""
"2561","Wood Sandpiper","WOSA",322,"Tringa glareola","3, 2, 1D, 1A","3, 2, 1D, 1A","","",""
"2562","Marsh Sandpiper","MASA",321,"Tringa stagnatilis","3, 2, 1D","3, 2, 1D","","",""
"2580","Willet","WILL",319,"Tringa semipalmata","4, 4A, 3A","4, 4A, 3A, 5","","",""
"2590","Wandering Tattler","WATA",316,"Tringa incana","3, 2, 2A","3, 2, 2A","","",""
"2591","Gray-tailed Tattler","GTTA",315,"Tringa brevipes","3, 2, 2A","3, 2, 2A","","",""
"2600","Ruff","RUFF",336,"Calidris pugnax","3, 2A","3, 2A, 2","","",""
