"species"	"year"	"spr_max_speed"	"aut_max_speed"
"Bombycilla_cedrorum"	2008	29.6996090164724	10.7457052604046
"Bombycilla_cedrorum"	2009	22.4839851384478	13.6456619980911
"Bombycilla_cedrorum"	2010	36.1707073442032	11.8237917078822
"Bombycilla_cedrorum"	2011	36.0688233951754	10.7368478784314
"Bombycilla_cedrorum"	2012	34.4620648857284	10.9872328353049
"Bombycilla_cedrorum"	2013	42.6495732475674	15.5500972705405
"Bombycilla_cedrorum"	2014	36.4825890304009	11.3771496474144
"Bombycilla_cedrorum"	2015	48.2486309034144	18.3042323923809
"Bombycilla_cedrorum"	2016	44.1457333357512	16.0070164936245
"Bombycilla_cedrorum"	2017	45.4795844783508	12.9089962811583
"Bombycilla_cedrorum"	2018	40.0257919823666	15.7819495373579
"Bombycilla_cedrorum"	2019	55.349357629913	16.7633897324758
"Bombycilla_cedrorum"	2020	41.9537709192241	18.9785198643569
"Bombycilla_cedrorum"	2021	62.4889001152468	9.99375674223892
"Bombycilla_cedrorum"	2022	36.6543575384722	16.5581733067651
"Bombycilla_cedrorum"	2023	51.0731465784017	11.8097052274114
"Bombycilla_cedrorum"	2024	46.1237695474583	20.3920879864841
"Haemorhous_purpureus"	2008	26.7222575379798	20.2323156907375
"Haemorhous_purpureus"	2009	15.8901523299541	10.1970978585871
"Haemorhous_purpureus"	2010	16.4761400100577	20.9908717424454
"Haemorhous_purpureus"	2011	21.8499771487427	9.04388641973437
"Haemorhous_purpureus"	2012	16.4258801464145	18.6029873745149
"Haemorhous_purpureus"	2013	30.8888277707574	7.69440847581286
"Haemorhous_purpureus"	2014	11.9189005151907	17.6998835310306
"Haemorhous_purpureus"	2015	24.1279588370096	15.51102950551
"Haemorhous_purpureus"	2016	12.2886250603079	21.0172178851776
"Haemorhous_purpureus"	2017	23.4082983991436	18.5070553143672
"Haemorhous_purpureus"	2018	16.6421807167365	20.9622004659778
"Haemorhous_purpureus"	2019	29.9845964477662	9.93778305534985
"Haemorhous_purpureus"	2020	11.6427658035657	29.2839363087492
"Haemorhous_purpureus"	2021	31.115992624638	14.9582727749292
"Haemorhous_purpureus"	2022	10.2028706071304	18.1290519548148
"Haemorhous_purpureus"	2023	29.5480913033356	11.3778147954079
"Haemorhous_purpureus"	2024	17.6749477260572	21.7020343552974
"Hylocichla_mustelina"	2008	107.643766500306	113.221781994908
"Hylocichla_mustelina"	2009	81.5576632737042	85.47698623797
"Hylocichla_mustelina"	2010	69.2267705827642	64.0390308420527
"Hylocichla_mustelina"	2011	81.042104029519	63.7000650266136
"Hylocichla_mustelina"	2012	75.7678143599978	73.1113974859532
"Hylocichla_mustelina"	2013	73.9141782929379	82.0093321411455
"Hylocichla_mustelina"	2014	67.3048001923556	74.3562575746139
"Hylocichla_mustelina"	2015	77.7818910325568	67.4220140760954
"Hylocichla_mustelina"	2016	71.6559915057078	82.065786702804
"Hylocichla_mustelina"	2017	84.1951394675889	88.1393056341199
"Hylocichla_mustelina"	2018	68.2336359379153	87.3577354234517
"Hylocichla_mustelina"	2019	76.7790949684078	73.1842083127813
"Hylocichla_mustelina"	2020	67.2095736786232	77.1134765347626
"Hylocichla_mustelina"	2021	72.4600979406921	79.1217800351283
"Hylocichla_mustelina"	2022	80.0241614408559	83.6578423330426
"Hylocichla_mustelina"	2023	69.6326985098836	84.5590082938663
"Hylocichla_mustelina"	2024	74.8476772469349	75.8105410699075
"Junco_hyemalis"	2008	25.7979388285361	21.0126395130931
"Junco_hyemalis"	2009	26.0687077509094	39.8100119990334
"Junco_hyemalis"	2010	28.0129901630711	21.0365685354737
"Junco_hyemalis"	2011	29.2300075790267	33.0539379427261
"Junco_hyemalis"	2012	28.8186842563072	37.3533529125466
"Junco_hyemalis"	2013	35.3278665817041	31.8174393370551
"Junco_hyemalis"	2014	28.5528828693505	42.5999542610392
"Junco_hyemalis"	2015	43.5955690807825	55.7716848755667
"Junco_hyemalis"	2016	35.4388371396596	25.0678222149842
"Junco_hyemalis"	2017	25.2442128102459	28.9090677907236
"Junco_hyemalis"	2018	51.6911466887928	22.6533480394914
"Junco_hyemalis"	2019	30.73441309172	40.876562179008
"Junco_hyemalis"	2020	44.7833898157023	37.3205028443904
"Junco_hyemalis"	2021	40.8277550236287	31.6336758803522
"Junco_hyemalis"	2022	48.5905517902905	37.1295672694593
"Junco_hyemalis"	2023	39.3251124175009	27.5562606227866
"Junco_hyemalis"	2024	39.0488549813528	42.0293005605318
"Setophaga_coronata"	2008	32.0421372093107	28.9448969807262
"Setophaga_coronata"	2009	42.0277804775085	35.2239116155437
"Setophaga_coronata"	2010	39.2758534824669	29.7892487518922
"Setophaga_coronata"	2011	35.7107382891957	28.3412398926923
"Setophaga_coronata"	2012	35.6375202561442	31.4659654096657
"Setophaga_coronata"	2013	38.1749561876033	32.0632459349457
"Setophaga_coronata"	2014	46.9836924847459	35.955017022475
"Setophaga_coronata"	2015	50.0723687133867	36.4749747572559
"Setophaga_coronata"	2016	44.8961489099638	39.7576802765406
"Setophaga_coronata"	2017	41.9894191873578	36.2063489788816
"Setophaga_coronata"	2018	53.9722590278369	39.265275647045
"Setophaga_coronata"	2019	43.9731582946004	39.3494156561894
"Setophaga_coronata"	2020	50.5164935761693	35.5181750652932
"Setophaga_coronata"	2021	51.7862371602166	37.2298691939686
"Setophaga_coronata"	2022	53.1688795757094	37.2547965862266
"Setophaga_coronata"	2023	53.9920505796314	37.8672060113116
"Setophaga_coronata"	2024	54.1363442485458	42.2896090883426
